n,D
32000,455026
32000,426896
32000,378815
32000,399781
32000,388294
32000,428626
32000,484441
32000,471347
32000,428645
32000,474667
32000,404688
33000,399127
33000,427048
33000,420096
33000,401518
33000,392129
33000,406345
33000,544575
33000,448977
33000,423027
33000,381688
33000,442368
33000,428871
33000,429903
33000,407876
33000,430397
33000,450547
33000,431592
33000,528263
33000,477145
33000,484067
33000,424062
33000,500857
33000,483599
33000,428107
33000,532610
33000,414069
33000,509880
33000,437781
33000,491080
33000,594057
33000,503398
33000,487127
33000,481538
33000,582022
33000,468629
33000,401693
33000,439308
33000,407455
33000,412386
33000,456449
33000,446636
33000,469965
33000,467631
33000,485761
33000,450528
33000,496407
33000,419834
33000,506794
33000,392092
33000,450386
34000,534824
34000,474595
34000,451094
34000,434259
34000,493435
34000,514419
34000,442209
34000,449735
34000,443592
34000,464606
34000,380048
34000,440845
34000,468307
34000,426412
34000,541355
34000,393273
34000,382986
34000,384578
34000,584703
34000,440434
34000,420223
34000,442466
34000,443248
34000,543331
34000,516140
34000,472400
34000,519764
34000,459754
34000,456931
34000,434876
34000,502405
34000,396811
34000,433549
34000,443143
34000,429317
34000,454204
34000,530877
34000,466173
34000,469802
34000,538436
34000,429191
34000,514336
34000,525890
34000,433398
34000,509744
34000,419342
34000,530583
34000,573597
34000,561014
34000,422203
35000,486016
35000,517930
35000,425848
35000,473626
35000,430388
35000,444099
35000,446258
35000,440448
35000,551982
35000,406373
35000,479252
35000,538892
35000,501282
35000,519178
35000,528257
35000,487552
35000,464376
35000,480776
35000,486456
35000,430471
35000,505505
35000,426092
35000,462041
35000,403175
35000,414294
35000,514688
35000,463477
35000,532347
35000,471653
35000,419991
35000,623306
35000,492064
35000,546332
35000,434801
35000,425022
35000,409258
35000,415789
35000,572932
35000,475547
35000,471287
35000,415736
35000,447064
35000,425957
35000,492321
35000,497702
35000,490535
35000,466877
35000,480731
35000,452333
35000,487227
36000,521411
36000,472779
36000,507036
36000,472597
36000,530138
36000,518797
36000,469850
36000,505624
36000,470989
36000,509946
36000,488923
36000,482869
36000,492545
36000,489613
36000,504546
36000,560814
36000,443956
36000,499154
36000,595229
36000,477357
36000,448362
36000,456542
36000,476842
36000,500703
36000,571878
36000,425877
36000,502842
36000,427918
36000,446331
36000,424290
36000,459072
36000,481394
36000,480995
36000,522732
36000,485916
36000,512662
36000,466364
36000,457382
36000,531159
36000,466850
36000,527164
36000,552292
36000,534969
36000,481508
36000,478581
36000,521996
36000,493961
36000,512621
36000,460708
36000,529154
37000,532048
37000,533073
37000,495737
37000,507582
37000,480175
37000,470052
37000,517434
37000,487764
37000,525986
37000,516636
37000,422410
37000,540256
37000,776206
