n,D-C
42000,97869
42000,78427
42000,150646
42000,53542
42000,133492
42000,25585
42000,100152
42000,109016
42000,80450
42000,172474
42000,216512
42000,147336
42000,81392
42000,149463
42000,98969
42000,135770
42000,76205
43000,176563
43000,8375
43000,110428
43000,27959
43000,102492
43000,88376
43000,88499
43000,25229
43000,92839
43000,67152
43000,97625
43000,72288
43000,113375
43000,132970
43000,20204
43000,86689
43000,76145
43000,74255
43000,12408
43000,144241
43000,86517
43000,200625
43000,119909
43000,181397
43000,196614
43000,106378
43000,80256
43000,74370
43000,56545
43000,57030
43000,159495
43000,122661
43000,89417
43000,372191
43000,207799
43000,298405
43000,77047
43000,107070
43000,258475
43000,74460
43000,37152
43000,137889
43000,54528
43000,92769
43000,155412
43000,74551
43000,102136
43000,75761
43000,147987
43000,40454
44000,94188
44000,141774
44000,116094
44000,124891
44000,9163
44000,53127
44000,163382
44000,125127
44000,79617
44000,146793
44000,30764
44000,60203
44000,131385
44000,165706
44000,123073
44000,145214
44000,27443
44000,161844
44000,52744
44000,113821
44000,167071
44000,109647
44000,142361
44000,115492
44000,185317
44000,266712
44000,79048
44000,78581
44000,68935
44000,198418
44000,125878
44000,109687
44000,40480
44000,150134
44000,261375
44000,81032
44000,14375
44000,78008
44000,84404
44000,94926
44000,90911
44000,153230
44000,122617
44000,206262
44000,125256
44000,126405
44000,179380
44000,65303
44000,40020
44000,216090
45000,123084
45000,221754
45000,57716
45000,76839
45000,198632
45000,112276
45000,74675
45000,162280
45000,202154
45000,220246
45000,132754
45000,238462
45000,230878
45000,121605
45000,194009
45000,240318
45000,70047
45000,31763
45000,145579
45000,100069
45000,162816
45000,293862
45000,122910
45000,85176
45000,123484
45000,118429
45000,31381
45000,33751
45000,152988
45000,68171
45000,141796
45000,63670
45000,135357
45000,119208
45000,238250
45000,98448
45000,20508
45000,203581
45000,83002
45000,184437
45000,117023
45000,138244
45000,120772
45000,287061
45000,125817
45000,228477
45000,65503
45000,46671
45000,136465
45000,176783
46000,279820
46000,98264
46000,4715
46000,125496
46000,30805
46000,212404
46000,47898
46000,86035
46000,91761
46000,203404
46000,115342
46000,57540
46000,213797
46000,244451
46000,97798
46000,210705
46000,85585
46000,75328
46000,55783
46000,201586
46000,115855
46000,47785
46000,109655
46000,251746
46000,129615
46000,99255
46000,80578
46000,123496
46000,36433
46000,124538
46000,63870
46000,121886
46000,257566
46000,190571
46000,58670
46000,134916
46000,52411
46000,19700
46000,130112
46000,36199
46000,126018
46000,30746
46000,65391
46000,91669
46000,201975
46000,57080
46000,97473
46000,176192
46000,201704
46000,194633
47000,102196
47000,179353
47000,22706
47000,82896
47000,138656
47000,113614
47000,89860
47000,196789
47000,279478
47000,128609
47000,127978
47000,77431
47000,127291
47000,32354
47000,34617
47000,44092
47000,197361
47000,148598
47000,26835
47000,187463
