n,U
35000,12899
35000,12945
35000,12862
35000,12856
35000,12813
35000,12938
35000,12917
35000,12883
35000,12932
35000,12909
35000,12874
35000,12856
35000,12849
35000,12909
35000,12894
35000,12802
35000,12814
35000,12936
35000,12841
35000,12868
35000,12927
35000,12826
36000,13168
36000,13174
36000,13205
36000,13223
36000,13283
36000,13204
36000,13258
36000,13157
36000,13217
36000,13289
36000,13350
36000,13198
36000,13283
36000,13304
36000,13199
36000,13266
36000,13211
36000,13251
36000,13223
36000,13265
36000,13264
36000,13261
36000,13311
36000,13275
36000,13297
36000,13224
36000,13288
36000,13220
36000,13234
36000,13213
36000,13210
36000,13276
36000,13157
36000,13293
36000,13261
36000,13210
36000,13286
36000,13239
36000,13272
36000,13286
36000,13300
36000,13275
36000,13237
36000,13151
36000,13296
36000,13238
36000,13263
36000,13166
36000,13203
36000,13278
37000,13630
37000,13651
37000,13644
37000,13713
37000,13625
37000,13606
37000,13641
37000,13502
37000,13612
37000,13671
37000,13664
37000,13575
37000,13645
37000,13588
37000,13551
37000,13650
37000,13615
37000,13555
37000,13607
37000,13581
37000,13638
37000,13626
37000,13700
37000,13614
37000,13650
37000,13540
37000,13699
37000,13587
37000,13616
37000,13552
37000,13659
37000,13631
37000,13642
37000,13653
37000,13578
37000,13663
37000,13616
37000,13576
37000,13599
37000,13598
37000,13660
37000,13606
37000,13661
37000,13568
37000,13602
37000,13579
37000,13669
37000,13547
37000,13588
37000,13505
38000,13941
38000,13929
38000,13979
38000,14056
38000,13903
38000,13944
38000,13762
38000,13933
38000,13991
38000,14006
38000,13996
38000,13952
38000,13867
38000,14000
38000,13968
38000,14038
38000,13970
38000,13920
38000,13982
38000,13977
38000,13930
38000,13989
38000,14058
38000,14007
38000,13995
38000,14052
38000,14081
38000,13975
38000,13959
38000,14120
38000,13859
38000,14018
38000,13851
38000,13932
38000,13945
38000,14060
38000,13814
38000,14025
38000,13999
38000,14029
38000,13974
38000,13980
38000,14067
38000,13998
38000,13994
38000,13828
38000,13938
38000,14035
38000,13929
38000,14114
39000,14356
39000,14300
39000,14233
39000,14346
39000,14311
39000,14377
39000,14373
39000,14395
39000,14279
39000,14288
39000,14396
39000,14259
39000,14350
39000,14288
39000,14277
39000,14243
39000,14224
39000,14425
39000,14336
39000,14364
39000,14396
39000,14439
39000,14320
39000,14402
39000,14473
39000,14366
39000,14282
39000,14289
39000,14301
39000,14267
