n,C
43000,452444
43000,528953
43000,452615
43000,415886
43000,467691
43000,478276
43000,502585
43000,520049
43000,592378
44000,484864
44000,453272
44000,420465
44000,465647
44000,579963
44000,543910
44000,417727
44000,508948
44000,474248
44000,396818
44000,500853
44000,514574
44000,458819
44000,486837
44000,495126
44000,457231
44000,585901
44000,471874
44000,528376
44000,457723
44000,440910
44000,532178
44000,419366
44000,474922
44000,477234
44000,428327
44000,547760
44000,471308
44000,566190
44000,529458
44000,545678
44000,470793
44000,563818
44000,493042
44000,441412
44000,450548
44000,717838
44000,697412
44000,491617
44000,488483
44000,561986
44000,482665
44000,500764
44000,520956
44000,450861
44000,417193
44000,424836
44000,563521
44000,524990
44000,455460
45000,498288
45000,490674
45000,562364
45000,482914
45000,458423
45000,640458
45000,539325
45000,479025
45000,441758
45000,542336
45000,457769
45000,450693
45000,566654
45000,487482
45000,465277
45000,441700
45000,502759
45000,568133
45000,446913
45000,485770
45000,449116
45000,450431
45000,514761
45000,535516
45000,456837
45000,474893
45000,565171
45000,564383
45000,419715
45000,503098
45000,542459
45000,537689
45000,462404
45000,488264
45000,430787
45000,473868
45000,591846
45000,411281
45000,604747
45000,457803
45000,596325
45000,524131
45000,536825
45000,439276
45000,452306
45000,480068
45000,524166
45000,666291
45000,478789
45000,459595
46000,475137
46000,554116
46000,804128
46000,476457
46000,564998
46000,438110
46000,727283
46000,513005
46000,498222
46000,542646
46000,555154
46000,558897
46000,465310
46000,566560
46000,519008
46000,493808
46000,524477
46000,487215
46000,633712
46000,465055
46000,638067
46000,532796
46000,484690
46000,447469
46000,516329
46000,490305
46000,525245
46000,486484
46000,558336
46000,526736
46000,637014
46000,782975
46000,449763
46000,538990
46000,556201
46000,457172
46000,593971
46000,562239
46000,548610
46000,557152
46000,518948
46000,553374
46000,619486
46000,544120
46000,516879
46000,547043
46000,587368
46000,551029
46000,519166
46000,516880
47000,486252
47000,494001
47000,604263
47000,521899
47000,551412
47000,576720
47000,536269
47000,585375
47000,540461
47000,529253
47000,491698
47000,534285
47000,498593
47000,640802
47000,534135
47000,569431
47000,511767
47000,561646
47000,677547
47000,440508
47000,534427
47000,505318
47000,650197
47000,462603
47000,478937
47000,579808
47000,507603
47000,543070
47000,497627
