n,C-D
26000,113561
26000,156810
26000,57342
26000,47553
26000,28148
26000,85138
26000,63866
26000,62464
26000,134741
26000,59452
26000,41689
26000,64217
26000,57398
26000,83716
26000,33356
26000,81047
26000,73177
26000,41594
26000,84281
26000,57845
26000,125684
26000,91444
26000,91252
26000,72610
26000,49518
26000,107556
26000,103649
26000,57588
26000,76912
26000,4016
26000,90160
26000,51402
26000,16970
26000,48432
26000,73545
26000,41640
26000,14218
26000,59657
26000,27852
26000,98950
27000,100175
27000,59543
27000,26429
27000,74364
27000,155951
27000,80119
27000,91646
27000,54613
27000,24847
27000,56361
27000,97621
27000,116256
27000,98157
27000,83366
27000,43182
27000,90416
27000,92135
27000,119427
27000,84189
27000,52429
27000,62125
27000,114380
27000,40820
27000,125425
27000,99715
27000,32274
27000,85281
27000,57614
27000,104908
27000,103504
27000,200764
27000,88708
27000,111383
27000,87595
27000,37184
27000,76746
27000,62506
27000,57402
27000,35796
27000,40919
27000,78304
27000,85330
27000,70147
27000,70197
27000,40791
27000,22058
27000,35695
27000,22491
27000,71266
27000,69124
28000,92750
28000,103803
28000,63529
28000,43439
28000,53436
28000,82301
28000,75825
28000,23511
28000,55842
28000,30023
28000,102275
28000,99150
28000,67724
28000,140766
28000,20404
28000,64634
28000,87153
28000,65428
28000,45055
28000,20594
28000,10533
28000,55005
28000,106876
28000,32045
28000,127096
28000,149890
28000,36400
28000,131781
28000,76327
28000,92048
28000,58340
28000,52014
28000,150110
28000,44441
28000,56879
28000,25658
28000,99496
28000,142547
28000,59319
28000,202038
28000,49056
28000,47071
28000,149861
28000,79023
28000,37652
28000,57323
28000,28940
28000,165287
28000,90274
28000,19867
29000,81361
29000,91222
29000,102671
29000,126727
29000,71627
29000,105102
29000,49950
29000,8487
29000,29995
29000,75482
29000,74940
29000,61262
29000,55660
29000,45178
29000,59351
29000,114615
29000,84481
29000,95464
29000,33220
29000,111201
29000,48352
29000,126861
29000,63285
29000,67027
29000,68285
29000,148749
29000,84680
29000,55527
29000,120122
29000,78641
29000,68707
29000,36207
29000,266252
29000,95746
29000,78616
29000,47130
29000,106565
29000,70154
29000,48485
29000,145503
29000,55903
29000,30183
29000,91241
29000,68830
29000,63101
29000,88652
29000,72756
29000,32972
29000,66603
29000,24659
30000,29907
30000,81717
30000,125185
30000,208865
30000,34953
30000,99424
30000,83069
30000,101585
30000,120311
30000,40349
30000,55332
30000,76581
30000,65071
30000,97117
30000,87012
30000,42123
30000,151786
30000,85589
30000,69880
30000,152809
30000,35135
30000,139165
30000,72787
30000,70299
30000,138774
30000,72385
30000,110547
30000,116599
30000,225466
30000,35821
30000,95191
30000,107068
30000,163371
30000,88397
30000,73944
30000,81156
30000,99399
30000,37947
30000,105020
30000,16152
30000,72310
30000,37267
30000,72434
30000,41403
30000,276323
30000,64813
30000,93684
30000,22088
30000,88043
30000,31334
31000,65852
31000,1582
31000,60951
31000,96480
31000,56027
31000,131490
31000,48232
